Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
866NC-4,IN,TBDS,NIGHT STAND,HMLG,109.00(Unit Price),0,61 04/20/2018,,VSVC,60.72,9.97,1,XB-22
866NC-5,IN,TBDS,DRESSER,HMLG,245.00(Unit Price),41,,,VSVC,154.22,33,1,XB-22
866NC-6,IN,TBDS,MIRROR,HMLG,77.00(Unit Price),0,40 04/20/2018,,VSVC,49.28,7.68,1,XB-22
866NC-9,IN,TBDS,CHEST,HMLG,209.00(Unit Price),0,28 04/20/2018,,VSVC,142.78,30.2,1,XB-22
867-3,DS,,(3/3) QUEEN RAILS & SLATS,HMLG,30.06(Unit Price),0,,,MCKS,37.63,1.82,1,
869-5,DS,,"DRESSER, CHERRY FINISH^           X",HMLG,,0,,,MM,172,33,1,
869-9,DS,,CHEST                             X,HMLG,,0,,,MM,141,27,1,
870-2,DS,,"(2/3) QUEEN FTBD, ESPRSO FIN",HMLG,59.12(Unit Price),0,,,MCLY,44,9.84,1,
872,DS,,"DINING TABLE, CHERRY FINISH       X",HMLG,,0,,,O,119.61,12.9,1,
873-3,DS,,(3/3) QUEEN RAILS & SLATS,HMLG,30.00(Unit Price),0,,,MM,37.63,2.02,1,
8740-T,DS,TBDS,"60"" TV STAND",HMLG,235.00(Unit Price),0,,,MCSH,121.77,24.2,1,XH-8
8741-12T,DS,,(1/4) STACKABLE BOOKCASE TOP,HMLG,39.88(Unit Price),0,,,MCKS,23.24,1.74,1,
8741-B1,DS,,SINGLE LENGTH CABINET TOP,HMLG,15.00(Unit Price),0,,,MCKS,11.07,0.96,1,
874-5,DS,,DRESSER,HMLG,,0,,,MCKS,134.8,28.8,1,
874-6,DS,,MIRROR,HMLG,,0,,,MCKS,17.6,3.82,1,
874LP-1,DS,,"(1/3) QN HDBD, ESPRESSO FIN    MEZZ",HMLG,,0,,,MCKS,48.6,13.3,1,
