Item#, Price , Net ,Description,Wt. (LB),CuFt,Page
8378GRY-L, $ 149.88 , Net ,(1/2) LEFT SIDE 3-SEATER,92.40,22.73,S-157
8378GRY-R, $ 149.12 , Net ,(2/2) RIGHT SIDE CHAISE,92.40,23.91,S-157
8378GRY*, $ 299.00 , Net ,(2) SECTIONAL AS SHOWN ON S-157,184.80,46.64,S-157
8380-1, $ 189.00 , Net ,CHAIR ,63.80,19.79,S-96
8380-2, $ 269.00 , Net ,LOVE SEAT,94.60,34.09,S-96
8380-3, $ 289.00 , Net ,SOFA,132.00,46.73,S-96
8401-3SC, $ 225.00 , Net ,REVERSIBLE SOFA CHAISE,134.20,34.80,S-178
8401GY-3SC, $ 199.00 , Net ,REVERSIBLE SOFA CHAISE,134.20,34.80,S-178
8403-1, $ 165.00 , Net ,RECLINING CHAIR,77.00,16.00,S-64
8403-2, $ 244.00 , Net ,DOUBLE RECLINING LOVE SEAT,143.00,24.90,S-64
8403-3, $ 265.00 , Net ,DOUBLE RECLINING SOFA W/ CNTR DROP-DOWN CUP HLDR,209.00,35.10,S-64
8404DB-1, $ 115.00 , Net ,RECLINING CHAIR,74.80,14.10,S-185
8404TP-1, $ 115.00 , Net ,RECLINING CHAIR,74.80,14.10,S-185
8405BJ-1, $ 195.00 , Net ,CHAIR,81.40,29.60,S-91
8405BJ-2, $ 289.00 , Net ,LOVE SEAT,107.80,45.00,S-91
8405BJ-3, $ 309.00 , Net ,SOFA,132.00,60.40,S-91
8405BJ-3SL, $ 409.00 , Net ,SOFA WITH SLEEPER,203.00,60.40,S-91
8405BJ-4, $ 75.00 , Net ,OTTOMAN,48.51,7.25,S-91
8411-2L, $ 214.88 , Net ,(1/3) LEFT SIDE RECLINING LOVE SEAT,129.80,24.40,S-24
8411-2LCN, $ 254.88 , Net ,(1/3) LEFT SIDE RECLINING LOVE SEAT W/ CNTR CONSOLE,145.20,30.00,S-24
8411-2R, $ 215.06 , Net ,(3/3) RIGHT SIDE RECLINING LOVE SEAT,129.80,24.40,S-24
8411-2RCN, $ 255.06 , Net ,(3/3) RIGHT SIDE RECLINING LOVE SEAT W/ CNTR CONSOLE,140.80,30.00,S-24
8411-CR, $ 165.06 , Net ,(2/3) CORNER SEAT,70.40,25.00,S-24
8411*CLCR, $ 635.00 , Net ,(3) SECTIONAL AS SHOWN ON S-24,356.40,85.00,S-24
8411*LLCR, $ 595.00 , Net ,(3) SECTIONAL AS SHOWN ON S-24 BOTTOM,330.00,73.80,S-24
8412-04, $ 229.00 ,,"END TABLE, MARBLE TOP",86.24,5.59,T-48
8412-1, $ 465.00 , Net ,ACCENT CHAIR,74.80,21.50,S-85
8412-2, $ 565.00 , Net ,LOVE SEAT,112.20,65.10,S-85
8412-3, $ 665.00 , Net ,SOFA,154.00,84.60,S-85
8412-30, $ 279.00 ,,"COCKTAIL TABLE, MARBLE TOP",90.20,8.20,T-48
8413GY-1, $ 135.00 , Net ,CHAIR,63.80,16.20,S-115
8413GY-2, $ 195.00 , Net ,LOVE SEAT,90.20,25.80,S-115
8413GY-3, $ 215.00 , Net ,SOFA ,114.40,35.50,S-115
8413TL-1, $ 135.00 , Net ,CHAIR,63.80,16.20,S-116
8413TL-2, $ 195.00 , Net ,LOVE SEAT,90.20,25.80,S-116
8413TL-3, $ 215.00 , Net ,SOFA ,114.40,35.50,S-116
8427-1, $ 269.00 , Net ,CHAIR,96.69,37.38,S-93
8427-2, $ 399.00 , Net ,LOVE SEAT,130.66,54.64,S-93
8427-3, $ 419.00 , Net ,SOFA,165.90,71.17,S-93
8427GY-1, $ 269.00 , Net ,CHAIR,96.69,37.38,S-94
8427GY-2, $ 399.00 , Net ,LOVE SEAT,130.66,54.64,S-94
8427GY-3, $ 419.00 , Net ,SOFA,165.90,71.17,S-94
8437-1LT, $ 255.00 , Net ,POWER LIFT CHAIR,121.00,15.90,S-184
8469-1, $ 259.00 , Net ,CHAIR,78.10,31.78,S-95
8469-2, $ 329.00 , Net ,LOVE SEAT,105.27,41.67,S-95
8469-3, $ 349.00 , Net ,SOFA,131.12,54.77,S-95
8469-5, $ 259.00 , Net ,CHAISE,66.44,29.31,S-95
8480BRW-1, $ 245.00 , Net ,GLIDER RECLINING CHAIR,122.10,25.81,S-1
8480BRW-2, $ 359.00 , Net ,DOUBLE RECLINING LOVE SEAT,182.60,39.54,S-1
8480BRW-3, $ 379.00 , Net ,DOUBLE RECLINING SOFA,213.40,53.51,S-1
8480BRW-1PW, $ 295.00 , Net ,POWER RECLINING CHAIR,126.50,25.81,S-1
8480BRW-2PW, $ 459.00 , Net ,POWER DOUBLE RECLINING LOVE SEAT,191.40,39.54,S-1
8480BRW-3PW, $ 479.00 , Net ,POWER DOUBLE RECLINING SOFA,222.20,53.51,S-1
8480BRW-2LCN, $ 269.88 , Net ,(1/4) LEFT SIDE RECLINING LOVE SEAT W/ CENTER CONSOLE,157.20,41.39,S-2
8480BRW-2R, $ 229.06 , Net ,(3/4) RIGHT SIDE RECLINING LOVE SEAT,131.12,33.11,S-2
8480BRW-AR, $ 110.00 , Net ,(4/4) ARMLESS RECLINING CHAIR,61.60,11.92,S-2
8480BRW-CR, $ 190.06 , Net ,(2/4) CORNER SEAT,101.20,33.61,S-2
8480BRW-2LCNPD, $ 344.88 , Net ,(1/4) POWER LEFT SIDE RECLINING LOVE SEAT WITH CENTER CONSOLE AND LED,161.92,41.39,S-2
8480BRW-2RPD, $ 304.06 , Net ,(3/4) POWER RIGHT SIDE RECLINING LOVE SEAT WITH LED,135.52,33.11,S-2
8480BRW-ARPD, $ 160.00 , Net ,(4/4) POWER ARMLESS RECLINING CHAIR WITH LED,50.60,11.92,S-2
8480BRW*4SC, $ 799.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 2 BOTTOM,451.12,120.03,S-2
8480BRW*4SCPD, $ 999.00 , Net ,(4) SECTIONAL AS SHOWN ON S- 2 TOP,449.24,120.03,S-2
8480GRY-1, $ 245.00 , Net ,GLIDER RECLINING CHAIR,122.10,25.81,S-3
8480GRY-2, $ 359.00 , Net ,DOUBLE RECLINING LOVE SEAT,182.60,39.54,S-3
8480GRY-3, $ 379.00 , Net ,DOUBLE RECLINING SOFA,213.40,53.51,S-3
8480GRY-1PW, $ 295.00 , Net ,POWER RECLINING CHAIR,126.50,25.81,S-3
8480GRY-2PW, $ 459.00 , Net ,POWER DOUBLE RECLINING LOVE SEAT,191.40,39.54,S-3
8480GRY-3PW, $ 479.00 , Net ,POWER DOUBLE RECLINING SOFA,222.20,53.51,S-3
